,place_resid,stateco_resid,placename_resid,place_work,stateco_work,placename_work,county_resid,county_work,FLOW_FLAG,total00,yr00_total,yr00_dralone,yr00_carpool2,yr00_carpool3,yr00_carpool4,yr00_carpool56,yr00_carpool7p,yr00_bus,yr00_trolley,yr00_subway,yr00_railroad,yr00_ferry,yr00_bicycle,yr00_walk,yr00_taxi,yr00_mcycle,yr00_other,yr00_athome,yr00_transit,yr00_carpool3p,yr00_totalnh,tt00_totalnh,tt00_dralone,tt00_carpool2,tt00_carpool3p,tt00_btransit,tt00_rtransit,tt00_other5,aggtime00,yr00_driver,yr00_vehocc,yr00_carpdriver,yr00_carpocc,commute_id
31012,53000,6001,Oakland,73906,6085,Stanford,Alameda,Santa Clara,Y,80.0,80.0,40.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,80.0,71.9,66.7,64.3,75.0,0.0,0.0,130.0,5605.0,55.0,1.33,10.0,2.44,530006001739066085
31013,53000,6001,Oakland,75000,6077,Stockton,Alameda,San Joaquin,Y,40.0,40.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,66.4,72.5,0.0,61.4,0.0,0.0,0.0,2655.0,25.0,1.58,5.0,3.0,530006001750006077
31014,53000,6001,Oakland,75315,6041,Strawberry,Alameda,Marin,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,270.0,4.0,1.0,0.0,0.0,530006001753156041
31015,53000,6001,Oakland,75630,6095,Suisun City,Alameda,Solano,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,140.0,4.0,2.0,4.0,2.0,530006001756306095
31016,53000,6001,Oakland,77000,6085,Sunnyvale,Alameda,Santa Clara,Y,275.0,275.0,210.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,10.0,275.0,58.4,60.4,63.8,67.5,0.0,0.0,15.9,16185.0,235.0,1.11,25.0,2.15,530006001770006085
31017,53000,6001,Oakland,77364,6035,Susanville,Alameda,Lassen,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,45.0,4.0,1.0,0.0,0.0,530006001773646035
31018,53000,6001,Oakland,77805,6041,Tamalpais-Homestead Valley,Alameda,Marin,Y,25.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,25.0,26.9,32.0,0.0,0.0,20.0,0.0,0.0,700.0,15.0,1.0,0.0,0.0,530006001778056041
31019,53000,6001,Oakland,77924,6013,Tara Hills,Alameda,Contra Costa,Y,35.0,35.0,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,23.8,30.0,20.0,0.0,0.0,0.0,0.0,880.0,25.0,1.45,10.0,2.0,530006001779246013
31020,53000,6001,Oakland,78582,6111,Thousand Oaks,Alameda,Ventura,N,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,120.0,10.0,1.0,0.0,0.0,530006001785826111
31021,53000,6001,Oakland,78666,6041,Tiburon,Alameda,Marin,Y,45.0,45.0,15.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,45.0,61.6,65.8,60.0,60.0,0.0,0.0,0.0,2835.0,25.0,1.78,15.0,2.57,530006001786666041
